SI_NO,Date,Product Type,Product,Type,Profit,Margin,Sales,COGS,Total Expenses,Marketing,Expected Profit,Expected COGS,Expected Margin,Expected Sales,State,Market,Market Size
100,2010-04-01,Coffee,Columbian,Regular,107,176,292,116,69,38,110,110,160,270,Connecticut,East,Small Market
101,2010-07-01,Coffee,Columbian,Regular,75,135,225,90,60,29,90,80,130,210,Connecticut,East,Small Market
102,2010-11-01,Coffee,Columbian,Regular,122,195,325,130,73,42,130,110,180,290,Connecticut,East,Small Market
103,2010-12-01,Coffee,Columbian,Regular,105,174,289,115,69,37,110,100,160,260,Connecticut,East,Small Market
104,2011-07-01,Coffee,Columbian,Regular,104,135,223,90,56,29,90,80,130,210,Connecticut,East,Small Market
105,2011-08-01,Coffee,Columbian,Regular,104,135,223,90,56,29,90,80,130,210,Connecticut,East,Small Market
106,2011-09-01,Coffee,lemon,Regular,135,155,275,103,64,33,110,90,150,240,Connecticut,East,Small Market
107,2011-10-01,Coffee,Columbian,Regular,171,188,334,125,73,41,130,100,160,260,Connecticut,East,Small Market
108,2011-11-01,Coffee,Columbian,Regular,181,195,346,130,73,42,130,110,180,290,Connecticut,East,Small Market
109,2010-06-01,Tea,Green Tea,Regular,15,31,51,20,16,5,20,20,30,50,Connecticut,East,Small Market
110,2010-11-01,Tea,Lemon,Regular,33,54,90,36,21,10,40,30,60,90,Connecticut,East,Small Market
111,2011-08-01,Tea,Green Tea,Regular,17,28,47,19,15,5,20,20,30,50,Connecticut,East,Small Market
112,2011-10-01,Tea,Green Tea,Regular,27,36,64,24,18,6,40,20,40,60,Connecticut,East,Small Market
113,2011-11-01,Tea,Green Tea,Regular,49,54,96,36,21,10,40,30,60,90,Connecticut,East,Small Market
114,2010-06-01,Espresso,Caffe Mocha,Regular,-2,75,128,53,77,48,10,50,70,120,Connecticut,East,Small Market
115,2010-10-01,Espresso,Caffe Mocha,Regular,1,84,144,60,83,54,40,40,90,130,Connecticut,East,Small Market
116,2010-11-01,Espresso,Caffe Mocha,Regular,2,86,147,61,84,55,10,60,80,140,Connecticut,East,Small Market
117,2011-01-01,Espresso,Caffe Mocha,Regular,11,105,201,75,103,68,20,70,100,170,Connecticut,East,Small Market
118,2011-02-01,Espresso,Caffe Mocha,Regular,4,90,165,65,87,58,20,60,90,150,Connecticut,East,Small Market
119,2011-03-01,Espresso,Caffe Mocha,Regular,0,87,160,63,87,57,10,60,80,140,Connecticut,East,Small Market
120,2011-04-01,Espresso,Caffe Mocha,Regular,0,87,160,63,87,57,10,60,80,140,Connecticut,East,Small Market
121,2011-05-01,Espresso,Caffe Mocha,Regular,4,90,153,64,81,58,20,60,90,150,Connecticut,East,Small Market
122,2011-09-01,Espresso,Caffe Mocha,Regular,3,87,159,62,85,56,20,50,90,140,Connecticut,East,Small Market
123,2011-12-01,Espresso,Caffe Mocha,Regular,-3,76,140,55,78,49,10,50,70,120,Connecticut,East,Small Market
124,2010-02-01,Espresso,Decaf Espresso,Decaf,29,75,130,55,46,18,40,50,70,120,Connecticut,East,Small Market
125,2010-05-01,Espresso,Decaf Espresso,Decaf,22,65,113,48,43,15,40,40,70,110,Connecticut,East,Small Market
